
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
              R2018b Update 4 (9.5.0.1067069) 64-bit (glnxa64)
                             February 28, 2019

 
For online documentation, see https://www.mathworks.com/support
For product information, visit www.mathworks.com.
 
trial: 1
The directed graph is generated.
AsySPA: 51000-th iteration, the error is 2.479535
AsySPA: 52000-th iteration, the error is 2.445033
AsySPA: 53000-th iteration, the error is 2.469941
AsySPA: 54000-th iteration, the error is 2.379144
AsySPA: 55000-th iteration, the error is 2.347807
AsySPA: 56000-th iteration, the error is 2.318052
AsySPA: 57000-th iteration, the error is 2.285228
AsySPA: 58000-th iteration, the error is 2.256970
AsySPA: 59000-th iteration, the error is 2.229535
AsySPA: 60000-th iteration, the error is 2.200423
AsySPA: 61000-th iteration, the error is 2.172571
AsySPA: 62000-th iteration, the error is 2.147190
AsySPA: 63000-th iteration, the error is 2.119681
AsySPA: 64000-th iteration, the error is 2.096874
AsySPA: 65000-th iteration, the error is 2.067294
AsySPA: 66000-th iteration, the error is 2.042228
AsySPA: 67000-th iteration, the error is 2.018154
AsySPA: 68000-th iteration, the error is 1.994172
AsySPA: 69000-th iteration, the error is 1.972705
AsySPA: 70000-th iteration, the error is 1.949369
AsySPA: 71000-th iteration, the error is 1.926953
AsySPA: 72000-th iteration, the error is 1.904582
AsySPA: 73000-th iteration, the error is 1.885008
AsySPA: 74000-th iteration, the error is 1.864673
AsySPA: 75000-th iteration, the error is 1.843380
AsySPA: 76000-th iteration, the error is 1.824000
AsySPA: 77000-th iteration, the error is 1.803770
AsySPA: 78000-th iteration, the error is 1.783464
AsySPA: 79000-th iteration, the error is 1.764765
AsySPA: 80000-th iteration, the error is 1.746354
AsySPA Err: 1.7464
Elapsed time is 63.758870 seconds.
trial: 2
The directed graph is generated.
ASYSONATA: 1000-th iteration, the error is 5.917744
ASYSONATA: 2000-th iteration, the error is 3.878816
ASYSONATA: 3000-th iteration, the error is 2.680202
ASYSONATA: 4000-th iteration, the error is 1.889898
ASYSONATA: 5000-th iteration, the error is 1.370221
ASYSONATA: 6000-th iteration, the error is 0.988839
ASYSONATA: 7000-th iteration, the error is 0.724670
ASYSONATA: 8000-th iteration, the error is 0.521737
ASYSONATA: 9000-th iteration, the error is 0.379681
ASYSONATA: 10000-th iteration, the error is 0.278213
ASYSONATA: 11000-th iteration, the error is 0.206588
ASYSONATA: 12000-th iteration, the error is 0.150579
ASYSONATA: 13000-th iteration, the error is 0.110014
ASYSONATA: 14000-th iteration, the error is 0.081223
ASYSONATA: 15000-th iteration, the error is 0.058866
ASYSONATA: 16000-th iteration, the error is 0.042944
ASYSONATA: 17000-th iteration, the error is 0.031837
ASYSONATA: 18000-th iteration, the error is 0.022943
ASYSONATA: 19000-th iteration, the error is 0.016837
ASYSONATA: 20000-th iteration, the error is 0.012337
ASYSONATA: 21000-th iteration, the error is 0.009139
ASYSONATA: 22000-th iteration, the error is 0.006707
ASYSONATA: 23000-th iteration, the error is 0.004845
ASYSONATA: 24000-th iteration, the error is 0.003618
